time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.41497476113259e-06,5.38879929909666e-06,0.002472007307577698,0.0012311071866522028,0.00048383467826074167,0.0,-8.878459939992497e-05,0.00031533313510754684,0.08239710173949986,-0.013413590025351654,0.006513682668573738,0.0,431.1220655380401,431.67193071514106,431.72687848671416,430.59390341736935
0.12000000000000001,-3.761896026599916e-05,5.2428290375665434e-05,0.011854514831889701,0.0016289754728617822,0.00578660402536002,0.0,-0.001671398458322754,0.0012841711770947009,0.23033288674729624,-0.002540390378206063,0.02962155311177893,0.0,450.3661619755605,452.2309183999232,452.00248758474214,452.8778669374952
0.18,-0.0002590275820467178,0.00016764720468180627,0.027535997486238573,0.003145441556819506,0.007921353542180931,0.0,-0.005922148938048073,0.0027174408340599693,0.29236709504311204,-0.01794272211855295,0.021762974976040322,0.0,425.2307500724325,424.557349076922,425.27671410459783,423.9557035457073
0.23999999999999996,-0.0008432328650629779,0.0005069392232591395,0.055172518759614736,0.021205896538210034,0.00955648108710161,0.0,-0.013784803985278704,0.011001789061920467,0.628702931915557,0.028793532239629382,0.014162761506191019,0.0,507.27830309439554,506.73225172735556,504.35588801522516,507.7196157803019
0.3,-0.0018876240805685148,0.001659431828257999,0.09755212565217038,0.02552326949936834,0.010576071515664864,0.0,-0.021135869612164748,0.027908989673078196,0.783844027620379,0.009923938286863918,0.017633814035120227,0.0,454.94593479227893,455.2236258188515,454.78920112387095,453.27556883179665
0.36000000000000004,-0.003361970999469588,0.003825253084201462,0.14604797793855717,0.026300174708659974,0.011631066162616222,0.0,-0.02811044710480835,0.04436309298857298,0.8326462561286976,0.003905630090639183,0.015396453115130196,0.0,421.1622901355408,420.96869570609175,421.3301257552332,420.8094414364804
0.4200000000000001,-0.005323335127001424,0.007189888683199454,0.20161437531361634,0.04657046582144009,0.012550989506096677,0.0,-0.03737258803009972,0.0701724845088128,1.0193372058519814,-0.04634287914608633,0.015184558939007206,0.0,464.14640307815563,464.1296639469963,466.75591042311885,462.8182437767565
0.48000000000000015,-0.007880832601288532,0.012528913336913047,0.26960414285316414,0.043783563112210544,0.014035062734413906,0.0,-0.0480656793030552,0.10744988683545943,1.2467792811511755,-0.048368377676160354,0.005606008462305879,0.0,478.2993537778336,477.56926630295254,476.02988400749445,475.8737171061233
0.5400000000000001,-0.011080601028245337,0.01986015304897605,0.3468146728861129,0.04487333417265038,0.023674914101869504,0.0,-0.05951555364968712,0.1370504483701179,1.3267915250047553,-0.07148823030900955,0.037840362943552044,0.0,431.60661558511305,434.31834238623435,432.6681483655999,430.71517680730653
0.6000000000000002,-0.015194742412590721,0.02907387438306408,0.4312227400781115,0.040723068030882104,0.026378654341976393,0.0,-0.07791109157090745,0.16960004745593185,1.4866271995914022,-0.06843138804507551,0.04395033295529492,0.0,457.61178713330617,458.098608712815,457.0669360209996,457.3068224516404
0.6600000000000003,-0.020545674454150852,0.040256049912845156,0.5278482233797116,0.037554732908712474,0.02943977221434224,0.0,-0.10081593994213253,0.20271967694498186,1.7338835889468995,-0.0589571933430825,0.0499841935468794,0.0,483.398526883356,483.8540124109577,483.5655316483772,484.27585739158013
0.7200000000000003,-0.02732827427658489,0.053363700877281664,0.6382204173041075,0.04670735929359893,0.0356497829448541,0.0,-0.12597450966096424,0.2353195462961702,1.94477974207055,-0.09919924685692744,0.0684499792512749,0.0,472.79776294474226,474.22017350526255,475.9632635011618,472.86981371048256
0.7800000000000004,-0.035755624601390416,0.06857288709093205,0.7607378883042171,0.044732472543396185,0.04285144453386103,0.0,-0.15573907978116774,0.2714321564441185,2.1387660066372116,-0.12227890758070671,0.08655756884152718,0.0,468.9219389350115,470.3304147557743,470.85236840300166,469.0541538405747
0.8400000000000004,-0.04598056309320252,0.08572700904693797,0.8914373604014187,0.0373978342914727,0.04852253382736915,0.0,-0.18564069384797896,0.29963831172767647,2.217735572138694,-0.12478104856771746,0.09302235632882101,0.0,435.2508544346882,435.798272156372,434.80627317672406,434.5824968421629
0.9000000000000005,-0.0581201145681434,0.10446025655591963,1.0270050259606218,0.038570443676685606,0.05419804711783449,0.0,-0.21956586464659808,0.32488048493377114,2.300983936411897,-0.09372380183531488,0.09539136205203594,0.0,435.2338894521338,435.4397647294275,437.03953531414487,439.60848415960686
0.9600000000000005,-0.07276192993084139,0.12494594085904355,1.1738801352402581,0.03309900111119646,0.06045748815445062,0.0,-0.2692693157823968,0.3572400366062619,2.5942070639687036,-0.09936058326231398,0.10229978895257721,0.0,499.46127377109207,499.9718636553776,500.14470644525386,499.7273393454238
1.0200000000000005,-0.09004704120821616,0.14696053207590754,1.3300957350909104,0.027136679316611456,0.06761067117714514,0.0,-0.30755391319314374,0.376038718479724,2.612907229420962,-0.10172704286014063,0.08999668543487263,0.0,419.010264930297,417.9482824590053,416.88682064100794,416.6706083121451
1.0800000000000005,-0.10981903520125093,0.17002063994543243,1.4883757179008323,0.022095257525795553,0.07312402591953049,0.0,-0.35203211188178823,0.3921373363965904,2.662945922368825,-0.09157401378245407,0.08491440594746467,0.0,428.7917529215862,428.3665924469652,427.28482522485564,428.1407913923876
1.1400000000000006,-0.13215492092654332,0.1938893410428529,1.6468364023233946,0.016716682657802018,0.07822362864376586,0.0,-0.3929181542460152,0.4030537771979709,2.6191511753208254,-0.09669192327497253,0.08513157577481456,0.0,396.60240133181594,396.62923191625384,396.9858905004806,396.507486689936
